NAME,TYPE,SLOT,CLASS,RACE,MATERIAL,SIZE,WEIGHT,VALUE,RENT,ML,ABILITIES,FLAGS,SPELL_NAME,SPELL_LVL,SPELL_REMAIN_CHG,SPELL_MAX_CHG,AP_APPLY,CUSTOM,BINDING,SOCKET_REMAIN,SOCKET_DICE1,SOCKET_DICE2,SOCKET_AC,SOCKET_PROF,ENCHANT_RENT_ADD,ENCHANT_AC_ADD,ENCHANT_DICE1_ADD,ENCHANT_DICE2_ADD,ENCHANT_SOCKETS_USED,DAM_TYPE,DAM_DICE,DAM_AVG,REQ_WEAP_SKILL,AFFECT,PROF_MOD,CAST,MOB,ZONE,ORIG_RAW
"a Velvet Cape",ARMOR,NECK,NONE,NONE,velvet,normal,25,30000,9000,10,PROTECTION_EVIL,UNIQUE UNBREAKABLE,,,,,5,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL 1HITROLL,,,"The elf sorceress","Goblin Caves","Object 'a Velvet Cape', Item type: ARMOR
Can be worn on: TAKE NECK
Class restrictions: NONE
Race restrictions: NONE
Object Material: velvet
Size: normal
Weight: 25, Value: 30000, Rent: 9000, Min Level: 10
Item will give you following abilities:  PROTECTION_EVIL
Item is: UNIQUE UNBREAKABLE
AP-apply is 5
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   HITROLL By 1
   DAMROLL By 1"
"an ice-cold white ash hunting spear",WEAPON,WIELD,WARRIOR ROGUE,NONE,unknown,normal,22,55000,5500,15,NONE,TWO_HANDED_WPN UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,4D9,20.0,pierce attack,10COLD_DMG 4HITROLL 50RESIST_COLD,,,"Kano, son of Goro","Darkrime","Object 'an ice-cold white ash hunting spear', Item type: WEAPON
Can be worn on: TAKE WIELD
Class restrictions: WARRIOR ROGUE
Race restrictions: NONE
Object Material: unknown
Size: normal
Weight: 22, Value: 55000, Rent: 5500, Min Level: 15
Item will give you following abilities:  NONE
Item is: TWO_HANDED_WPN UNIQUE UNBREAKABLE
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '4D9', Average Damage 20.0.
Requires Weapon Skill: pierce attack
Can affect you as:
   HITROLL By 4
   RESIST_COLD By 50
   COLD_DMG By 10"
"an adamantine bracelet",ARMOR,WRIST,NONE,NONE,adamantite,large,2,8270,8270,25,NONE,UNIQUE UNBREAKABLE GOOD_FLAGGED,,,,,8,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DAMROLL 2HITROLL,,,"Adamantite Guard","Raddok","Object 'an adamantine bracelet', Item type: ARMOR
Can be worn on: TAKE WRIST
Class restrictions: NONE
Race restrictions: NONE
Object Material: adamantite
Size: large
Weight: 2, Value: 8270, Rent: 8270, Min Level: 25
Item will give you following abilities:  NONE
Item is: UNIQUE UNBREAKABLE GOOD_FLAGGED
AP-apply is 8
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   HITROLL By 2
   DAMROLL By 2"
"Moorish bracers",ARMOR,ARMS,NONE,NONE,steel,special,8,25000,4166,5,NONE,UNBREAKABLE,,,,,10,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DAMROLL -1DEX,,,"Caesar","Rome","Object 'Moorish bracers', Item type: ARMOR
Can be worn on: TAKE ARMS
Class restrictions: NONE
Race restrictions: NONE
Object Material: steel
Size: special
Weight: 8, Value: 25000, Rent: 4166, Min Level: 5
Item will give you following abilities:  NONE
Item is: UNBREAKABLE
AP-apply is 10
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By -1
   DAMROLL By 2"
"a jade pendant",WORN,NECK,NONE,NONE,crystal,special,3,25000,2750,5,NONE,UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1CON 1DAMROLL,,,"Caesar","Rome","Object 'a jade pendant', Item type: WORN
Can be worn on: TAKE NECK
Class restrictions: NONE
Race restrictions: NONE
Object Material: crystal
Size: special
Weight: 3, Value: 25000, Rent: 2750, Min Level: 5
Item will give you following abilities:  NONE
Item is: UNBREAKABLE
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   CON By 1
   DAMROLL By 1"
"a long, green cape",ARMOR,ABOUT,NONE,NONE,cotton,normal,3,7334,1645,10,INFRAVISION,UNBREAKABLE,,,,,8,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1CON,,,"An Elite Guard","City of Raddok","Object 'a long, green cape', Item type: ARMOR
Can be worn on: TAKE ABOUT
Class restrictions: NONE
Race restrictions: NONE
Object Material: cotton
Size: normal
Weight: 3, Value: 7334, Rent: 1645, Min Level: 10
Item will give you following abilities:  INFRAVISION
Item is: UNBREAKABLE
AP-apply is 8
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   CON By 1"
"a pair of scarlett slippers",ARMOR,FEET,NONE,NONE,cotton,normal,4,780,780,0,NONE,UNIQUE UNBREAKABLE,,,,,3,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DEX,,,"","","Object 'a pair of scarlett slippers', Item type: ARMOR
Can be worn on: TAKE FEET
Class restrictions: NONE
Race restrictions: NONE
Object Material: cotton
Size: normal
Weight: 4, Value: 780, Rent: 780, Min Level: 0
Item will give you following abilities:  NONE
Item is: UNIQUE UNBREAKABLE
AP-apply is 3
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By 1"
"a lesser elvin cloak",ARMOR,NECK,NONE,NONE,cotton,special,2,7640,2510,5,IMPROVED_INVIS,UNIQUE UNBREAKABLE,,,,,6,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-1INT,,,"The Traveler","Black Market","Object 'a lesser elvin cloak', Item type: ARMOR
Can be worn on: TAKE NECK
Class restrictions: NONE
Race restrictions: NONE
Object Material: cotton
Size: special
Weight: 2, Value: 7640, Rent: 2510, Min Level: 5
Item will give you following abilities:  IMPROVED_INVIS
Item is: UNIQUE UNBREAKABLE
AP-apply is 6
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   INT By -1"
"a carved wooden ring",ARMOR,FINGER,NONE,NONE,wood,large,3,15000,2500,5,NONE,UNIQUE UNBREAKABLE,,,,,0,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL 1HITROLL,,,"","","Object 'a carved wooden ring', Item type: ARMOR
Can be worn on: TAKE FINGER
Class restrictions: NONE
Race restrictions: NONE
Object Material: wood
Size: large
Weight: 3, Value: 15000, Rent: 2500, Min Level: 5
Item will give you following abilities:  NONE
Item is: UNIQUE UNBREAKABLE
AP-apply is 0
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   HITROLL By 1
   DAMROLL By 1"
"a grey mithril longsword",WEAPON,WIELD,NONE,NONE,steel,special,14,120000,30000,0,SENSE_LIFE,GLOW MAGIC UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,slash,4D6,14.0,slash attack,3DAMROLL 3HITROLL,,,"Elrohir","Imladris","Object 'a grey mithril longsword', Item type: WEAPON
Can be worn on: TAKE WIELD
Class restrictions: NONE
Race restrictions: NONE
Object Material: steel
Size: special
Weight: 14, Value: 120000, Rent: 30000, Min Level: 0
Item will give you following abilities:  SENSE_LIFE
Item is: GLOW MAGIC UNBREAKABLE MAIN_HAND_WPN
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: slash,  Damage Dice: '4D6', Average Damage 14.0.
Requires Weapon Skill: slash attack
Can affect you as:
   HITROLL By 3
   DAMROLL By 3"
"a pair of adamantine leg plates",ARMOR,LEGS,NONE,NONE,adamantite,large,11,5180,5180,15,NONE,UNIQUE UNBREAKABLE,,,,,10,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,20MAXMOVE,,,"Adamantite Guard","Raddok","Object 'a pair of adamantine leg plates', Item type: ARMOR
Can be worn on: TAKE LEGS
Class restrictions: NONE
Race restrictions: NONE
Object Material: adamantite
Size: large
Weight: 11, Value: 5180, Rent: 5180, Min Level: 15
Item will give you following abilities:  NONE
Item is: UNIQUE UNBREAKABLE
AP-apply is 10
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXMOVE By 20"
